equipment,model,sub_model,manufacturer,losses_total,,abandoned,abandoned and destroyed,captured,captured and destroyed,damaged,damaged and abandoned,damaged and captured,damaged beyond economical repair,destroyed,scuttled,sunk
Self-Propelled Anti-Aircraft Guns,ZiL-131 with Zu-23-2,,the Soviet Union,5,,,,1.0,,,,,,4.0,,
Self-Propelled Anti-Aircraft Guns,KrAZ-6322 with S-60,,the Soviet Union,2,,,,,,,,,,2.0,,
Self-Propelled Anti-Aircraft Guns,KamAZ 6x6 with S-60,,the Soviet Union,1,,,,,,,,,,1.0,,
Self-Propelled Anti-Aircraft Guns,Star-266 with ZU-23 AA gun,,Poland,1,,,,,,,,,,1.0,,
Self-Propelled Anti-Aircraft Guns,DAF YAD 4442 NT with Zu-23-2 AA gun,,the Netherlands,1,,,,,,,,,,1.0,,
Self-Propelled Anti-Aircraft Guns,DAF YAD 4442 NT with Zastava M75 AA gun,,the Netherlands,1,,,,,,,,,,1.0,,
Self-Propelled Anti-Aircraft Guns,14.5mm Viktor MR 2 Mobile Anti-Aircraft Gun,,the Netherlands,1,,,,,,,,,,1.0,,
Self-Propelled Anti-Aircraft Guns,Unknown truck with Zu-23-2,,the Soviet Union,1,,,,,,,,,,1.0,,
Surface-To-Air Missile Systems,9K33 Osa,,the Soviet Union,22,,,,3.0,,4.0,,,,15.0,,
Surface-To-Air Missile Systems,9K35 Strela-10,,the Soviet Union,33,,1.0,,,,4.0,,,,28.0,,
Surface-To-Air Missile Systems,Stormer HVM,,the United Kingdom,3,,,,,,3.0,,,,,,
Surface-To-Air Missile Systems,9A310M1 TELAR (for Buk-M1),,the Soviet Union,17,,,,1.0,,4.0,,,,12.0,,
Surface-To-Air Missile Systems,9A39M1 TEL (for Buk-M1),,the Soviet Union,6,,,,,,1.0,,,,5.0,,
Surface-To-Air Missile Systems,9A330 Tor TLAR (for 9K330 Tor),,the Soviet Union,1,,,,,,1.0,,,,,,
Surface-To-Air Missile Systems,5P73 launcher (for S-125-2D 'Pechora-2D'),,the Soviet Union,1,,,,,,,,,,1.0,,
Surface-To-Air Missile Systems,5P851A (Launcher for S-300PT-1A),,the Soviet Union,32,,,,,,,,,,32.0,,
Surface-To-Air Missile Systems,5P85D (launcher for S-300PS),,the Soviet Union,2,,,,1.0,,,,,,1.0,,
Surface-To-Air Missile Systems,5P85S (launcher for S-300PS),,the Soviet Union,20,,,,1.0,,1.0,,,,18.0,,
Surface-To-Air Missile Systems,5P85D/S (launcher for S-300PS),,the Soviet Union,22,,,,,,1.0,,,,21.0,,
Surface-To-Air Missile Systems,Launcher for S-300,,the Soviet Union,3,,,,,,,,,,3.0,,
Surface-To-Air Missile Systems,F3 command cabin (for 70P6 S-300PT),,the Soviet Union,3,,,,,,,,,,3.0,,
Surface-To-Air Missile Systems,AIM-132 ASRAAM based on Supacat HMT,,the United Kingdom,1,,,,,,,,,,1.0,,
Surface-To-Air Missile Systems,NASAMS launcher,,Norway,2,,,,,,,,,,2.0,,
Surface-To-Air Missile Systems,MAN SX45 8x8 launcher (for IRIS-T SLM),,Germany,1,,,,,,,,,,1.0,,
Surface-To-Air Missile Systems,M901 launcher (for MIM-104 Patriot),,the United States,2,,,,,,,,,,2.0,,
Radars And Communications Equipment,P-14 'Tall King',,the Soviet Union,1,,,,,,1.0,,,,,,
Radars And Communications Equipment,P-18 'Spoon Rest D',,the Soviet Union,12,,,,1.0,,2.0,,,,9.0,,
Radars And Communications Equipment,P-18 'Malakhit',,Ukraine,14,,,,1.0,,2.0,,,,11.0,,
Radars And Communications Equipment,MR-18 Mobile 3D Surveillance Radar,,Ukraine,1,,,,,,,,,,1.0,,
Radars And Communications Equipment,Support vehicle (for 1RL131 P-18 'Terek' early warning radar),,Ukraine,1,,,,1.0,,,,,,,,
Radars And Communications Equipment,79K6 'Pelikan' 3D surveillance radar,,Ukraine,3,,,,,,,,,,3.0,,
Radars And Communications Equipment,80K6M Mobile 3D Radar,,Ukraine,1,,,,,,,,,,1.0,,
Radars And Communications Equipment,P-19 'Flat Face B',,the Soviet Union,2,,,,,,,,,,2.0,,
Radars And Communications Equipment,P-35/37 'Bar Lock',,the Soviet Union,1,,,,,,,,,,1.0,,
Radars And Communications Equipment,PRV-11 'Side Net',,the Soviet Union,1,,,,1.0,,,,,,,,
Radars And Communications Equipment,PRV-13 'Odd Pair',,the Soviet Union,3,,,,1.0,,,,,,2.0,,
Radars And Communications Equipment,PRV-16 'Thin Skin B',,the Soviet Union,3,,,,,,,,,,3.0,,
Radars And Communications Equipment,1L22 'Parol',,the Soviet Union,6,,,,2.0,,1.0,,,,3.0,,
Radars And Communications Equipment,36D6 'Tin Shield',,the Soviet Union,16,,,,1.0,,3.0,,,,12.0,,
Radars And Communications Equipment,5N63S 'Flap Lid B' (for S-300PS),,the Soviet Union,16,,,,,,1.0,,,,15.0,,
Radars And Communications Equipment,5N63-1 'Flap Lid A' on 40V6M mast (for S-300PT),,the Soviet Union,5,,,,1.0,,1.0,,,,3.0,,
Radars And Communications Equipment,5N66M 'Clam Shell' on 40V6M mast (for S-300PT),,the Soviet Union,3,,1.0,,1.0,,,,,,1.0,,
Radars And Communications Equipment,9S32-1 radar (for 9K81-1 S-300V1),,the Soviet Union,1,,,,,,,,,,1.0,,
Radars And Communications Equipment,P-37 'Mech' early warning radar,,the Soviet Union,1,,,,1.0,,,,,,,,
Radars And Communications Equipment,"R-410-7,5 tropospheric radio relay communication station",,the Soviet Union,1,,,,,,,,,,1.0,,
Radars And Communications Equipment,SNAR-10 battlefield surveillance radar,,the Soviet Union,3,,,,2.0,,,,,,1.0,,
Radars And Communications Equipment,1B44-1 (RPMK-1) radiosonde weather radar,,the Soviet Union,1,,,,,,,,,,1.0,,
Radars And Communications Equipment,36D6 ST-68U surveillance radar,,the Soviet Union,8,,,,,,,,,,8.0,,
Radars And Communications Equipment,1L220UK Zoopark-3 counter-battery radar,,Ukraine,1,,,,,,1.0,,,,,,
Radars And Communications Equipment,PRV-16ML height-finder radar,,Lithuania,1,,,,,,,,,,1.0,,
Radars And Communications Equipment,P-18ML long-range VHF surveillance radar,,Lithuania,4,,,,,,2.0,,,,2.0,,
Radars And Communications Equipment,AN-MPQ-64 Sentinel radar,,the United States,1,,,,,,,,,,1.0,,
Radars And Communications Equipment,TRML-4D multi-functional radar (for IRIS-T SLM),,Germany,2,,,,,,1.0,,,,1.0,,
Radars And Communications Equipment,AN/TPQ-36 weapons location radar,,the United States,8,,,,,,3.0,,,,5.0,,
Radars And Communications Equipment,AN/TPQ-37 weapons location radar,,the United States,2,,,,,,,,,,2.0,,
Radars And Communications Equipment,AN/TPQ-49 lightweight counter mortar radar,,the United States,1,,,,1.0,,,,,,,,
Radars And Communications Equipment,AN/TPQ-50 counter-battery radar,,the United States,7,,,,,,1.0,,,,6.0,,
Radars And Communications Equipment,ARTHUR counter-battery radar,,the United Kingdom,1,,,,,,,,,,1.0,,
Radars And Communications Equipment,AN/MPQ-53 radar (for MIM-104 'Patriot'),,the United States,1,,,,,,1.0,,,,,,
Radars And Communications Equipment,Unknown counter mortar/battery radar,,the United States,1,,,,,,1.0,,,,,,
Radars And Communications Equipment,RADA ieMHR,,Israel,2,,,,,,,,,,2.0,,
Radars And Communications Equipment,Unknown radar,,Ukraine,2,,,,,,,,,,2.0,,
Jammers And Deception Systems,NOTA,,Ukraine,1,,,,1.0,,,,,,,,
Jammers And Deception Systems,Bukovel-AD EW system,,Ukraine,6,,,,,,1.0,,,,5.0,,
Jammers And Deception Systems,Plastun-RP3000 MTDFS,,Ukraine,1,,,,,,,,,,1.0,,
Jammers And Deception Systems,Kolchuga-M' EW passive sensor,,Ukraine,1,,,,,,1.0,,,,,,
Aircraft,MiG-29 fighter aircraft,,the Soviet Union,33,,,,,,3.0,,,,30.0,,
Aircraft,Su-27 fighter aircraft,,the Soviet Union,17,,,,,,,,,,17.0,,
Aircraft,Su-25 close air support aircraft,,the Soviet Union,23,,,,,,1.0,,,1.0,21.0,,
Aircraft,Su-24M strike aircraft,,the Soviet Union,19,,,,,,,,,,19.0,,
Aircraft,Su-24MR tactical reconnaissance aircraft,,the Soviet Union,1,,,,,,,,,,1.0,,
Aircraft,F-16 fighter aircraft,,the United States,3,,,,,,,,,,3.0,,
Aircraft,L-39 Albatros,,the Czech Republic,7,,,,,,,,,,7.0,,
Aircraft,Unknown fighter jet,,the Soviet Union,1,,,,,,,,,,1.0,,
Aircraft,Il-76(MD) transport aircraft,,the Soviet Union,2,,,,1.0,,,,,,1.0,,
Aircraft,An-26 transport aircraft,,the Soviet Union,2,,,,,,,,,,2.0,,
Helicopters,Mi-2 training helicopter,,the Soviet Union,6,,,,3.0,,,,,,3.0,,
Helicopters,Mi-8 transport helicopter,,the Soviet Union,29,,,,,,1.0,,,,28.0,,
Helicopters,Mi-14PS maritime helicopter,,the Soviet Union,1,,,,,,,,,,1.0,,
Helicopters,Mi-17V5,,the Soviet Union,3,,,,,,,,,,3.0,,
Helicopters,Mi-8/17,,the Soviet Union,1,,,,,,,,,,1.0,,
Helicopters,Mi-24P attack helicopter,,the Soviet Union,2,,,,,,,,,,2.0,,
Helicopters,Mi-24 attack helicopter,,the Soviet Union,7,,,,,,2.0,,,,5.0,,
Helicopters,Airbus H225 transport helicopter,,France,1,,,,,,,,,,1.0,,
Helicopters,Westland Sea King,,the United Kingdom,1,,,,,,,,,1.0,,,
Unmanned Combat Aerial Vehicles,Bayraktar TB2,,Turkey,26,,,,,,,,,,26.0,,
Unmanned Combat Aerial Vehicles,Avenger,,Ukraine,1,,,,,,,,,,1.0,,
Unmanned Combat Aerial Vehicles,Punisher,,Ukraine,2,,,,1.0,,,,,,1.0,,
Reconnaissance Unmanned Aerial Vehicles,A1-SM Fury,,Ukraine,136,,,,71.0,,,,,,65.0,,
Reconnaissance Unmanned Aerial Vehicles,ASU-1 Valkyrja,,Ukraine,55,,,,8.0,,,,,,47.0,,
Reconnaissance Unmanned Aerial Vehicles,Leleka-100,,Ukraine,136,,,,46.0,,,,1.0,,89.0,,
Reconnaissance Unmanned Aerial Vehicles,Leleka-LR,,Ukraine,4,,,,,,,,,,4.0,,
Reconnaissance Unmanned Aerial Vehicles,Spaitech Sparrow,,Ukraine,4,,,,3.0,,,,,,1.0,,
Reconnaissance Unmanned Aerial Vehicles,Spectator-M1,,Ukraine,6,,,,2.0,,,,,,4.0,,
Reconnaissance Unmanned Aerial Vehicles,PD-1,,Ukraine,2,,,,1.0,,,,,,1.0,,
Reconnaissance Unmanned Aerial Vehicles,PD-2,,Ukraine,2,,,,,,,,,,2.0,,
Reconnaissance Unmanned Aerial Vehicles,UJ-22,,Ukraine,2,,,,,,,,,,2.0,,
Reconnaissance Unmanned Aerial Vehicles,ITEC Skif,,Ukraine,4,,,,1.0,,,,,,3.0,,
Reconnaissance Unmanned Aerial Vehicles,Mini Shark,,Ukraine,1,,,,,,,,,,1.0,,
Reconnaissance Unmanned Aerial Vehicles,Shark-M,,Ukraine,1,,,,,,,,,,1.0,,
Reconnaissance Unmanned Aerial Vehicles,Shark-D,,Ukraine,24,,,,3.0,,,,,,21.0,,
Reconnaissance Unmanned Aerial Vehicles,Mara-2M,,Ukraine,10,,,,4.0,,,,,,6.0,,
Reconnaissance Unmanned Aerial Vehicles,Chaklun,,Ukraine,2,,,,1.0,,,,,,1.0,,
Reconnaissance Unmanned Aerial Vehicles,Elf,,Ukraine,1,,,,,,,,,,1.0,,
Reconnaissance Unmanned Aerial Vehicles,Sych,,Ukraine,1,,,,,,,,,,1.0,,
Reconnaissance Unmanned Aerial Vehicles,Raybird-3,,Ukraine,3,,,,,,,,,,3.0,,
Reconnaissance Unmanned Aerial Vehicles,Ares,,Ukraine,1,,,,,,,,,,1.0,,
Reconnaissance Unmanned Aerial Vehicles,Hor,,Ukraine,4,,,,2.0,,,,,,2.0,,
Reconnaissance Unmanned Aerial Vehicles,Orlik,,the Czech Republic,2,,,,1.0,,,,,,1.0,,
Reconnaissance Unmanned Aerial Vehicles,Primoco One 150,,the Czech Republic,3,,,,,,,,,,3.0,,
Reconnaissance Unmanned Aerial Vehicles,FlyEye,,Poland,18,,,,5.0,,,,,,13.0,,
Reconnaissance Unmanned Aerial Vehicles,Penguin C,,Latvia,8,,,,4.0,,,,,,4.0,,
Reconnaissance Unmanned Aerial Vehicles,Poseidon H10,,Cyprus,2,,,,,,,,,,2.0,,
Reconnaissance Unmanned Aerial Vehicles,EOS-C VTOL,,Estonia,3,,,,1.0,,,,,,2.0,,
Reconnaissance Unmanned Aerial Vehicles,Bayraktar Mini,,Turkey,2,,,,1.0,,,,,,1.0,,
Reconnaissance Unmanned Aerial Vehicles,AeroVironment RQ-20 Puma,,the United States,27,,,,12.0,,1.0,,,,14.0,,
Reconnaissance Unmanned Aerial Vehicles,AeroVironment Quantix Recon UAV,,the United States,1,,,,1.0,,,,,,,,
Reconnaissance Unmanned Aerial Vehicles,Boeing Insitu ScanEagle 2,,the United States,5,,,,1.0,,,,,,4.0,,
Reconnaissance Unmanned Aerial Vehicles,Quantum Vector UAV,,Germany,3,,,,1.0,,,,,,2.0,,
Reconnaissance Unmanned Aerial Vehicles,RQ-35 Heidrun,,Germany,3,,,,1.0,,,,,,2.0,,
Reconnaissance Unmanned Aerial Vehicles,Malloy Aeronautics T150 cargo UAV,,the United Kingdom,4,,,,3.0,,,,,,1.0,,
Reconnaissance Unmanned Aerial Vehicles,FLIRT Cetus,,Poland,3,,,,1.0,,,,,,2.0,,
Reconnaissance Unmanned Aerial Vehicles,Tekever AR3,,Portugal,7,,,,2.0,,,,,,5.0,,
Reconnaissance Unmanned Aerial Vehicles,HAWK,,Ukraine,1,,,,1.0,,,,,,,,
Reconnaissance Unmanned Aerial Vehicles,DH-1 Domakha,,Ukraine,4,,,,2.0,,,,,,2.0,,
Reconnaissance Unmanned Aerial Vehicles,Unknown reconnaissance UAV,,Ukraine,4,,,,1.0,,,,,,3.0,,
Naval Ships,Krivak III-class frigate,'Hetman Sahaydachniy',the Soviet Union,1,,,,,,,,,,,1.0,
Naval Ships,Gyurza-M-class gunboat,,Ukraine,1,,,,,,1.0,,,,,,
Naval Ships,Gyurza-M-class gunboat,Akkerman 'P174',Ukraine,1,,,,1.0,,,,,,,,
Naval Ships,Gyurza-M-class gunboat,Kremenchuk 'P177',Ukraine,1,,,,1.0,,,,,,,,
Naval Ships,Gyurza-M-class gunboat,Lubny 'P178',Ukraine,1,,,,,,,,,,,,1.0
Naval Ships,Gyurza-M-class gunboat,Vyshhorod 'P179',Ukraine,1,,,,1.0,,,,,,,,
Naval Ships,Island-class patrol boat,,the United States,1,,,,,,1.0,,,,,,
Naval Ships,Island-class patrol boat,P190 'Slovyansk',the United States,1,,,,,,,,,,,,1.0
Naval Ships,Stenka-class patrol boat (Operated by the Sea Guard),,the Soviet Union,1,,,,,,1.0,,,,,,
Naval Ships,Stenka-class patrol boat (Operated by the Sea Guard),BG-32 'Donbass',the Soviet Union,1,,,,,,,,,,,,1.0
Naval Ships,Zhuk-class patrol boat (Sea Guard),,the Soviet Union,1,,,,,,1.0,,,,,,
Naval Ships,Zhuk-class patrol boat (Sea Guard),'BG 105',the Soviet Union,1,,,,,,,,,,1.0,,
Naval Ships,Zhuk-class patrol boat (Sea Guard),'BG 108',the Soviet Union,1,,,,,,,,,,1.0,,
Naval Ships,Zhuk-class patrol boat (Sea Guard),'BG 110',the Soviet Union,1,,,,,,,,,,1.0,,
Naval Ships,Zhuk-class patrol boat (Sea Guard),'BG 118',the Soviet Union,1,,,,1.0,,,,,,,,
Naval Ships,Zhuk-class patrol boat (Sea Guard),BG-114,the Soviet Union,1,,,,1.0,,,,,,,,
Naval Ships,Sorum-class seagoing tugboat,A830 or P186 'Korets',the Soviet Union,1,,,,1.0,,,,,,,,
Naval Ships,Project 376 Yaroslavets-class general purpose tugboat,,the Soviet Union,1,,,,,,,,,,1.0,,
Naval Ships,Project 1258 Yevgenya-class minesweeper,'Henichesk',the Soviet Union,1,,,,,,,,,,,,1.0
Naval Ships,Project 1390 Strizh-class boat,'U923',the Soviet Union,1,,,,,,1.0,,,,,,
Naval Ships,Project T-63OZh Kostromich-class tug boat,'Novoozerne',the Soviet Union,1,,,,,,,,,,1.0,,
Naval Ships,Pr.304 Amur-class command ship,U-500 'Donbas',Poland,1,,,,,,,,,,1.0,,
Naval Ships,Project 58181 Centaur-class fast assault boat,'DSHK-1 Stanislav',Ukraine,1,,,,,,,,,,,,1.0
Naval Ships,UMS-600 patrol boat (Sea Guard),'BG 721',Ukraine,1,,,,1.0,,,,,,,,
Naval Ships,UMS-1000 patrol boat (Sea Guard),,Ukraine,1,,,,,,,,,,1.0,,
Naval Ships,UMS-1000 patrol boat (Sea Guard),'BG 14',Ukraine,1,,,,1.0,,,,,,,,
Naval Ships,UMS-1000 patrol boat (Sea Guard),'BG 22',Ukraine,1,,,,,,,,1.0,,,,
Naval Ships,UMS-1000 patrol boat (Sea Guard),'BG 23',Ukraine,1,,,,1.0,,,,,,,,
Naval Ships,UMS-1000 patrol boat (Sea Guard),'BG 24',Ukraine,1,,,,1.0,,,,,,,,
Naval Ships,UMS-1000 patrol boat (Sea Guard),'BG 25',Ukraine,1,,,,1.0,,,,,,,,
Naval Ships,Project 50030 Kalkan-class patrol boat (Sea Guard),'BG 303',Ukraine,1,,,,1.0,,,,,,,,
Naval Ships,Project 50030 Kalkan-class patrol boat (Sea Guard),'BG 304',Ukraine,1,,,,1.0,,,,,,,,
Naval Ships,Project 50030 Kalkan-class patrol boat (Sea Guard),'BG 308',Ukraine,1,,,,1.0,,,,,,,,
Naval Ships,Project 50030 Kalkan-class patrol boat (Sea Guard),'BG 309',Ukraine,1,,,,1.0,,,,,,,,
Naval Ships,Project 50030 Kalkan-class patrol boat (Sea Guard),'BG 310',Ukraine,1,,,,1.0,,,,,,,,
Naval Ships,Project 50030 Kalkan-class patrol boat (Sea Guard),'BG 311',Ukraine,1,,,,1.0,,,,,,,,
Naval Ships,40-Foot Defiant patrol boat,,the United States,1,,,,,,1.0,,,,,,
Naval Ships,Landing boat Project 1176,'Svatove',the Soviet Union,1,,,,,,1.0,,,,,,
Naval Ships,Landing ship Project 773,'Yuriy Olefirenko',Poland,1,,,,,,,,,,1.0,,
Naval Ships,Project 1462 hydrographic boat,'Dmytro Chubar',the Soviet Union,1,,,,1.0,,,,,,,,
Naval Ships,Unknown boat,unknown ID,Ukraine,1,,,,,,1.0,,,,,,
"Trucks, Vehicles, and Jeeps",KrAZ-214,,the Soviet Union,1,,,,,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",KrAZ-255B,,the Soviet Union,18,,,,3.0,,1.0,,,,14.0,,
"Trucks, Vehicles, and Jeeps",KrAZ-255B tanker,,the Soviet Union,1,,,,,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",KrAZ-260,,the Soviet Union,4,,,,3.0,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",KrAZ-5233,,Ukraine,50,,1.0,,18.0,,1.0,,1.0,,29.0,,
"Trucks, Vehicles, and Jeeps",KrAZ-6322,,Ukraine,66,,,,12.0,,2.0,,,,52.0,,
"Trucks, Vehicles, and Jeeps",KrAZ-6322 'Krepost’,,Ukraine,6,,,,5.0,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",KrAZ-6446,,Ukraine,3,,,,,,,,,,3.0,,
"Trucks, Vehicles, and Jeeps",KrAZ-65055,,Ukraine,2,,,,,,,,,,2.0,,
"Trucks, Vehicles, and Jeeps",ATs-10-260 Fuel Tanker,,the Soviet Union,1,,,,,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",Bogdan-2251 ambulance,,Ukraine,23,,,,5.0,,1.0,,,,17.0,,
"Trucks, Vehicles, and Jeeps",Bogdan-5316,,Ukraine,12,,,,1.0,,1.0,1.0,,,9.0,,
"Trucks, Vehicles, and Jeeps",Bogdan-63172,,Ukraine,42,,2.0,,4.0,,4.0,,,,32.0,,
"Trucks, Vehicles, and Jeeps",Bogdan-63172 'Kozak',,Ukraine,3,,,,1.0,,,,,,2.0,,
"Trucks, Vehicles, and Jeeps",9T217 transloader (for 9K33 Osa),,the Soviet Union,3,,,,,,,,,,3.0,,
"Trucks, Vehicles, and Jeeps",GAZ-53,,the Soviet Union,3,,,,2.0,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",GAZ-63,,the Soviet Union,1,,,,,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",GAZ-66,,the Soviet Union,171,0.0,1.0,,37.0,,1.0,2.0,2.0,,128.0,,
"Trucks, Vehicles, and Jeeps",GAZ-66,with 82mm 2B9 Vasilek mortar,the Soviet Union,1,,,,,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",GAZ-66 tanker,,the Soviet Union,1,,,,,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",GAZ-3307,,the Soviet Union,3,,,,,,,,,,3.0,,
"Trucks, Vehicles, and Jeeps",GAZ-3308,,the Soviet Union,2,,,,1.0,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",GAZ-3308 tanker,,the Soviet Union,1,,,,,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",ZiL-130,,the Soviet Union,13,,,,1.0,,,,,,12.0,,
"Trucks, Vehicles, and Jeeps",ZiL-130,with ZU-23 AA gun,the Soviet Union,1,,,,,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",ZiL-130 tanker,,the Soviet Union,2,,,,,,,,,,2.0,,
"Trucks, Vehicles, and Jeeps",ZiL-131,,the Soviet Union,191,,1.0,,41.0,,4.0,1.0,2.0,,142.0,,
"Trucks, Vehicles, and Jeeps",ZiL-131,with ZU-23 AA gun,the Soviet Union,7,,,,2.0,,,,,,5.0,,
"Trucks, Vehicles, and Jeeps",ZiL-131,with ZU-23-2 cannon,the Soviet Union,1,,,,,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",ZiL-131 'VEPR',,the Soviet Union,1,,,,1.0,,,,,,,,
"Trucks, Vehicles, and Jeeps",ZiL-131 tanker,,the Soviet Union,8,,1.0,,2.0,,1.0,,,,4.0,,
"Trucks, Vehicles, and Jeeps",ZiL-157,,the Soviet Union,2,,,,2.0,,,,,,,,
"Trucks, Vehicles, and Jeeps",ZiL-181,,the Soviet Union,1,,,,,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",ZiL-4331,,the Soviet Union,2,,,,1.0,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",Ural-375D,,the Soviet Union,10,,,,7.0,,,,,,3.0,,
"Trucks, Vehicles, and Jeeps",Ural-4320,,the Soviet Union,94,,,,9.0,,3.0,1.0,1.0,,80.0,,
"Trucks, Vehicles, and Jeeps",Ural-4320,with ZU-23 AA gun,the Soviet Union,2,,,,,,,,,,2.0,,
"Trucks, Vehicles, and Jeeps",Ural tanker,,the Soviet Union,27,,,,7.0,,2.0,,,,18.0,,
"Trucks, Vehicles, and Jeeps",KamAZ 6x6,,the Soviet Union,35,,,,7.0,,1.0,,2.0,,25.0,,
"Trucks, Vehicles, and Jeeps",KamAZ 6x4,,the Soviet Union,4,,,,,,,,,,4.0,,
"Trucks, Vehicles, and Jeeps",KamAZ 6x6 tanker,,the Soviet Union,2,,,,1.0,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",Unknown KamAZ,,the Soviet Union,1,,,,,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",MAZ-537,,the Soviet Union,4,,,,1.0,,,,,,3.0,,
"Trucks, Vehicles, and Jeeps",MAZ-5337 tanker,,the Soviet Union,1,,,,,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",MAZ-6317,,the Soviet Union,2,,,,,,,,,,2.0,,
"Trucks, Vehicles, and Jeeps",MAZ-500 tanker,,the Soviet Union,3,,,,1.0,,,,,,2.0,,
"Trucks, Vehicles, and Jeeps",Mobile field bathhouse based on MAZ-6317 chassis,,the Soviet Union,1,,,,1.0,,,,,,,,
"Trucks, Vehicles, and Jeeps",FMTV M1083A1P2,,the United States,18,,,,,,,1.0,,,17.0,,
"Trucks, Vehicles, and Jeeps",Jelcz P882 D53,,Poland,2,,,,,,,,,,2.0,,
"Trucks, Vehicles, and Jeeps",Mercedes-Benz Unimog U1300L ambulance,,Germany,3,,,,,,,,,,3.0,,
"Trucks, Vehicles, and Jeeps",Pinzgauer Vector 718,,the United Kingdom,6,,,,1.0,,2.0,,,,3.0,,
"Trucks, Vehicles, and Jeeps",Land Rover Snatch,,the United Kingdom,16,,,,2.0,,1.0,,1.0,,12.0,,
"Trucks, Vehicles, and Jeeps",UAZ-452 van,,the Soviet Union,43,,,,2.0,,2.0,1.0,,,38.0,,
"Trucks, Vehicles, and Jeeps",UAZ-469 jeep,,the Soviet Union,16,,,,6.0,,,2.0,,,8.0,,
"Trucks, Vehicles, and Jeeps",UAZ-3303,,the Soviet Union,1,,,,,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",UAZ-31514,,the Soviet Union,2,,,,,,,,,,2.0,,
"Trucks, Vehicles, and Jeeps",UAZ-39094,,the Soviet Union,1,,,,,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",Armoured Volkswagen Amarok pickup truck,,Germany,1,,,,,,,,1.0,,,,
"Trucks, Vehicles, and Jeeps",MAN KAT 4x4,,Germany,3,,,,,,,,,,3.0,,
"Trucks, Vehicles, and Jeeps",MAN HX81 tank transporter,,Germany,2,,,,,,,,,,2.0,,
"Trucks, Vehicles, and Jeeps",MAN Multi-A4 FSA,,Germany,1,,,,,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",RMMV HX 4x4,,Germany,2,,,,,,,,,,2.0,,
"Trucks, Vehicles, and Jeeps",RMMV TG MIL 6x6,,Germany,1,,,,,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",Fiat Fullback pickup truck,,Italy,2,,,,,,1.0,,,,1.0,,
"Trucks, Vehicles, and Jeeps",Armed pickup truck,,Ukraine,1,,,,,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",Armed pickup truck,with KPV HMG,Ukraine,1,,,,,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",Armed pickup truck,with M2 HMG,Ukraine,1,,,,,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",Armed pickup truck,with ZU-23 AA gun,Ukraine,1,,,,,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",Peugeot P4,,France,2,,,,,,,,,,2.0,,
"Trucks, Vehicles, and Jeeps",Renault TRM-2000,,France,2,,,,,,1.0,,,,1.0,,
"Trucks, Vehicles, and Jeeps",DAF YAD 4442 NT,,the Netherlands,4,,,,,,,,,,4.0,,
"Trucks, Vehicles, and Jeeps",Iveco Magirus 90-16 AW 4x4,,Italy,2,,,,,,,,,,2.0,,
"Trucks, Vehicles, and Jeeps",Iveco VM90,,Italy,5,,,,,,1.0,,,,4.0,,
"Trucks, Vehicles, and Jeeps",Downgraded Mowag Eagle II,,Switzerland,1,,,,,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",Polycar Bus Truck,,Ukraine,1,,,,,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",DAF Leyland 45.150,,the United Kingdom,2,,,,,,,,,,2.0,,
"Trucks, Vehicles, and Jeeps",Daewoo Novus,,South Korea,10,,,,,,,,,,10.0,,
"Trucks, Vehicles, and Jeeps",MAN TGS,,Germany,1,,,,,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",MAN TG 4x4,,Germany,4,,,,,,,,,,4.0,,
"Trucks, Vehicles, and Jeeps",Mercedes-Benz Zetros,,Germany,2,,,,,,,,,,2.0,,
"Trucks, Vehicles, and Jeeps",Petra Toyota Land Cruiser 79 series,,Jordan,2,0.0,,,,,,,,,2.0,,
